Unnamed: 0,year,price,ranks,title,no_of_reviews,ratings,author
9,2016,14.68,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,
10,2016,7.63,11,A Man Called Ove: A Novel,"57,079",4.7,Fredrik Backman
11,2016,11.0,12,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),"11,314",4.8,Bill O'Reilly
12,2016,10.5,13,How to Win Friends & Influence People,"79,262",4.7,Dale Carnegie
13,2016,11.98,14,The Magnolia Story,"10,136",4.8,Chip Gaines
14,2016,4.99,15,Laugh-Out-Loud Jokes for Kids,"10,755",4.6,Rob Elliott
15,2016,17.36,16,To Kill a Mockingbird,"68,978",4.8,Harper Lee
16,2016,9.65,17,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"29,420",4.5,J. D. Vance
17,2016,13.4,18,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),"9,220",4.7,J.K. Rowling
18,2016,23.69,19,Hamilton: The Revolution,"13,110",4.9,Lin-Manuel Miranda
19,2016,10.33,20,The Girl on the Train,"91,557",4.1,Paula Hawkins
20,2016,8.55,21,Mindset: The New Psychology of Success,"13,946",4.6,Carol S. Dweck
21,2016,,22,"The Official SAT Study Guide, 2016 Edition","1,090",4.4,The College Board
22,2016,8.99,23,,"3,113",4.5,
23,2016,7.74,24,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"86,825",4.7,Don Miguel Ruiz
24,2016,7.38,25,Milk and Honey,"46,482",4.7,Rupi Kaur
25,2016,3.97,26,The Going-To-Bed Book,"15,431",4.8,Sandra Boynton
26,2016,15.2,27,Born to Run,"5,520",4.7,Bruce Springsteen
27,2016,9.94,28,Alexander Hamilton,"19,098",4.8,Ron Chernow
28,2016,4.93,29,The Very Hungry Caterpillar,"54,127",4.9,Eric Carle
29,2016,18.39,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"9,191",4.7,Stephen R. Covey
0,2017,9.67,1,Wonder,"35,740",4.8,R. J. Palacio
1,2017,7.38,2,Milk and Honey,"46,482",4.7,Rupi Kaur
2,2017,6.9,3,Giraffes Can't Dance,"28,456",4.8,Giles Andreae
3,2017,14.3,4,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"80,456",4.6,Mark Manson
4,2017,,5,The Getaway,"17,190",4.8,Jeff Kinney
5,2017,8.97,6,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,"12,582",4.4,Laurel Randolph
